FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
84.92,6.47,41.76,110,1,Spring,All
87.59,21.98,15.48,90,1,Spring,All
87.26,23.69,24.48,40,1,Spring,All
87.15,25.06,29.88,283,1,Spring,All
86.38,17.41,35.64,210,1,Spring,All
83.28,21.38,44.64,77,1,Spring,All
84.21,28.16,21.6,110,1,Spring,All
84.26,29.88,21.6,27,1,Spring,All
84.54,34.05,38.16,100,2,Spring,All
84.62,36.16,16.56,293,1,Spring,All
84.66,38.07,50.04,103,4,Spring,All
84.71,39.92,25.56,210,1,Spring,All
84.51,41.45,38.16,310,2,Spring,All
82.48,42.71,23.04,335,1,Spring,All
83.05,44.69,20.52,270,1,Spring,All
84.21,46.95,18.36,170,1,Spring,All
86.55,49.74,34.56,85,3,Spring,All
86.6,52.11,27.36,50,2,Summer,All
85.77,54.16,22.68,20,1,Summer,All
85.81,56.62,19.8,10,1,Summer,All
86.42,59.46,12.6,30,1,Summer,All
86.47,61.87,20.88,47,1,Summer,All
83.67,40.71,20.52,280,1,Summer,All
84.41,43.3,18.72,247,1,Summer,All
84.46,45.58,21.6,30,1,Summer,All
84.41,47.47,15.48,37,1,Summer,All
81.21,48.67,30.6,260,1,Summer,All
85.43,51.86,22.32,230,1,Summer,All
87.13,55.62,21.24,70,1,Summer,All
86.59,58.28,11.52,137,1,Summer,All
86.64,61.6,11.52,90,1,Summer,All
86.78,64.96,9.36,115,1,Summer,All
86.82,67.8,17.28,40,1,Summer,All
86.59,70.57,26.64,53,2,Summer,All
86.64,73.43,18.36,340,1,Summer,All
83.24,46.75,20.88,168,1,Summer,All
83.96,49.34,17.28,320,1,Summer,All
84.01,51.81,26.28,17,1,Summer,All
85.86,55.43,11.16,70,1,Summer,All
85.91,58.56,18.36,20,1,Summer,All
85.96,61.83,14.76,43,1,Summer,All
85.07,64.07,21.96,58,1,Summer,All
83.11,65.66,15.12,190,1,Summer,All
83.68,69.64,31.32,153,2,Summer,All
83.44,71.42,16.92,28,1,Summer,All
83.49,73.48,15.12,250,1,Summer,All
83.16,75.22,15.48,307,1,Summer,All
83.33,77.53,23.4,252,1,Summer,All
86.87,81.57,27.36,65,3,Summer,All
88.59,86.46,19.8,310,3,Summer,All
88.63,90.45,11.16,125,1,Summer,All
88.68,94.72,16.92,125,2,Summer,All
88.73,98.87,21.6,10,3,Summer,All
87.1,101.92,8.64,145,1,Summer,All
87.15,105.51,21.6,160,3,Summer,All
84.81,107.6,18,23,1,Summer,All
81.82,109.03,19.08,60,1,Summer,All
83.73,111.56,20.88,32,1,Summer,All
84.24,114.15,11.52,113,1,Summer,All
84.32,116.72,32.4,353,4,Summer,All
79.83,117.8,18.72,243,1,Summer,All
83.62,120.24,16.56,5,1,Summer,All
85.51,123.2,21.24,130,2,Summer,All
85.56,125.91,11.88,300,1,Summer,All
86.86,129.38,19.8,10,3,Summer,All
84.73,131.39,11.88,60,1,Summer,All
84.9,134.06,13.32,317,1,Summer,All
86.8,137.49,24.12,130,4,Summer,All
86.9,140.85,12.24,110,2,Summer,All
86.95,144.2,20.88,140,3,Summer,All
87,147.45,23.76,280,4,Summer,All
87.34,150.92,17.64,240,3,Summer,All
87.38,154.05,17.64,250,3,Summer,All
87.43,157.03,16.92,40,3,Summer,All
87.16,159.77,18,103,3,Summer,All
87.21,162.81,18.72,60,3,Summer,All
87.25,165.84,10.08,180,2,Summer,All
87.2,160.33,19.44,20,3,Summer,All
87.24,163.28,16.92,350,3,Summer,All
87.29,166.26,21.24,50,4,Summer,All
86.82,168.92,22.32,120,4,Summer,All
85.16,171.08,22.32,65,3,Summer,All
84.84,173.15,16.92,0,2,Summer,All
84.95,175.63,15.84,320,2,Summer,All
82.49,166.45,16.2,342,1,Summer,All
82.53,167.96,12.24,210,1,Summer,All
85.25,170.87,11.88,70,1,Summer,All
85.6,173.73,15.48,320,2,Summer,All
86.3,176.84,19.08,350,3,Summer,All
85.71,179.12,13.68,165,2,Summer,All
85.96,182.1,20.88,10,3,Summer,All
86.16,184.86,14.04,0,2,Summer,All
85.08,149.73,14.76,240,1,Summer,All
85.13,151.92,19.44,240,2,Summer,All
85.18,154.29,19.44,280,2,Summer,All
86.24,157.31,12.96,40,2,Summer,All
86.3,160.24,19.8,140,3,Summer,All
86.35,162.93,20.16,20,3,Summer,All
81.62,135.44,14.04,240,1,Summer,All
82.78,137.32,12.24,265,1,Summer,All
82.91,139.13,10.44,340,1,Summer,All
84.58,141.59,16.92,303,1,Summer,All
86.35,144.77,20.16,127,3,Summer,All
85.25,146.79,23.04,20,3,Summer,All
85.3,149.38,16.92,270,2,Summer,All
86.06,152.32,22.32,45,3,Summer,All
86.11,155.07,21.96,217,3,Summer,All
86.16,157.98,20.52,122,3,Summer,All
86.21,160.54,18.36,130,2,Summer,All
85.41,162.61,18,37,2,Summer,All
85.86,165.5,22.68,342,3,Summer,All
85.91,168.18,18.72,210,2,Summer,All
86.85,171.33,12.24,180,2,Summer,All
87.18,174.52,14.76,325,2,Summer,All
87.23,177.58,13.68,357,2,Summer,All
87.28,179.84,13.32,5,2,Summer,All
86.31,160.04,20.16,33,3,Summer,All
84.03,142.83,13.68,217,1,Summer,All
84.2,145.01,18.72,240,2,Summer,All
84.59,147.35,14.76,73,1,Summer,All
85.73,150.18,20.52,23,2,Summer,All
85.83,152.64,16.92,110,2,Summer,All
82.33,153.51,18.36,70,1,Summer,All
84.73,155.79,13.32,230,1,Summer,All
84.78,157.67,13.32,198,1,Summer,All
85.89,160.23,16.2,20,2,Summer,All
85.94,162.58,27.36,130,4,Summer,All
85.99,165.14,13.68,92,2,Summer,All
86.72,168.06,8.64,190,1,Summer,All
86.17,170.07,28.08,275,4,Summer,All
86.22,172.31,19.8,60,3,Summer,All
86.27,174.72,19.08,160,3,Summer,All
87.29,177.75,17.28,290,3,Summer,All
87.34,180.15,23.4,250,4,Summer,All
87.39,182.46,16.92,160,3,Summer,All
