FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
85.03,9.29,34.56,128.00,1,Spring,All
84.24,14.46,32.76,120.00,1,Spring,All
82.79,23.92,34.92,110.00,1,Spring,All
83.54,26.71,26.64,117.00,1,Spring,All
83.59,28.24,22.68,123.00,1,Spring,All
83.84,30.05,24.48,140.00,1,Spring,All
83.95,31.72,30.60,125.00,1,Spring,All
84.00,33.20,20.52,240.00,1,Spring,All
84.04,34.64,35.64,108.00,1,Spring,All
83.83,35.74,28.08,25.00,1,Spring,All
82.40,38.28,21.96,20.00,1,Spring,All
83.55,40.13,34.20,53.00,1,Spring,All
85.62,42.41,21.24,250.00,1,Spring,All
85.67,44.36,24.12,113.00,1,Summer,All
85.18,47.30,15.48,160.00,1,Summer,All
85.71,49.69,12.24,300.00,1,Summer,All
85.76,51.67,19.44,140.00,1,Summer,All
82.81,32.83,26.28,20.00,1,Summer,All
83.65,36.93,22.32,115.00,1,Summer,All
83.70,38.49,19.08,50.00,1,Summer,All
80.73,39.46,25.20,27.00,1,Summer,All
84.52,42.22,22.68,140.00,1,Summer,All
86.36,45.54,23.40,13.00,1,Summer,All
85.84,47.80,25.56,50.00,1,Summer,All
85.92,50.68,16.56,30.00,1,Summer,All
86.08,53.58,15.12,170.00,1,Summer,All
86.13,55.82,13.68,240.00,1,Summer,All
85.95,58.23,10.08,130.00,1,Summer,All
85.99,60.68,18.72,247.00,1,Summer,All
82.12,41.74,20.88,20.00,1,Summer,All
83.14,43.87,29.16,10.00,1,Summer,All
85.15,49.04,21.96,120.00,1,Summer,All
85.19,51.75,26.64,240.00,1,Summer,All
85.24,54.58,11.88,325.00,1,Summer,All
84.45,56.46,15.84,40.00,1,Summer,All
82.47,57.76,19.80,10.00,1,Summer,All
82.45,59.06,18.72,303.00,1,Summer,All
82.97,61.06,17.64,200.00,1,Summer,All
82.84,64.38,29.88,217.00,1,Summer,All
82.52,65.87,13.32,250.00,1,Summer,All
82.66,67.88,20.88,20.00,1,Summer,All
85.95,71.43,20.88,110.00,2,Summer,All
87.74,75.74,12.24,140.00,1,Summer,All
87.79,79.18,14.76,325.00,2,Summer,All
87.84,82.98,20.16,20.00,3,Summer,All
87.89,86.64,28.44,210.00,4,Summer,All
86.43,89.34,25.20,308.00,3,Summer,All
86.48,92.43,17.28,10.00,2,Summer,All
84.25,94.20,20.52,28.00,1,Summer,All
82.99,97.62,19.08,150.00,1,Summer,All
83.54,99.87,14.40,340.00,1,Summer,All
83.65,102.08,16.20,105.00,1,Summer,All
79.52,103.02,18.72,30.00,1,Summer,All
82.87,105.10,22.32,235.00,1,Summer,All
84.67,107.74,12.60,272.00,1,Summer,All
84.72,107.30,24.12,13.00,2,Summer,All
86.06,110.39,12.96,333.00,1,Summer,All
