FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
85.22,8.99,32.04,10.00,1,Spring,All
85.27,10.41,30.96,133.00,1,Spring,All
87.28,17.68,39.60,90.00,2,Spring,All
87.33,19.25,23.04,130.00,1,Spring,All
86.93,20.68,25.56,115.00,1,Spring,All
86.76,21.74,32.04,130.00,1,Spring,All
84.46,14.48,28.44,138.00,1,Spring,All
82.75,22.27,28.08,180.00,1,Spring,All
83.84,28.14,39.60,150.00,1,Spring,All
83.94,31.31,29.52,105.00,1,Spring,All
84.13,33.29,27.00,255.00,1,Spring,All
84.22,35.14,23.04,130.00,1,Spring,All
84.26,36.79,38.52,140.00,2,Spring,All
82.69,42.48,30.96,7.00,1,Spring,All
83.89,44.50,37.08,130.00,2,Spring,All
86.13,46.98,47.16,210.00,5,Spring,All
86.18,49.09,10.08,227.00,1,Summer,All
85.39,50.89,11.16,47.00,1,Summer,All
85.44,53.07,15.48,298.00,1,Summer,All
86.01,55.63,22.68,210.00,1,Summer,All
86.06,57.77,17.28,350.00,1,Summer,All
83.06,44.34,19.80,140.00,1,Summer,All
83.97,46.67,26.28,130.00,1,Summer,All
84.02,48.63,14.04,275.00,1,Summer,All
83.96,50.29,13.68,40.00,1,Summer,All
80.92,51.36,23.04,5.00,1,Summer,All
84.92,54.20,27.72,20.00,1,Summer,All
86.60,57.59,19.80,140.00,1,Summer,All
86.08,59.95,18.36,278.00,1,Summer,All
86.16,62.94,18.72,95.00,1,Summer,All
86.32,65.95,15.48,280.00,1,Summer,All
86.37,68.37,14.76,293.00,1,Summer,All
86.12,70.88,23.76,0.00,2,Summer,All
86.17,73.45,18.72,150.00,1,Summer,All
82.86,46.85,33.12,113.00,1,Summer,All
83.49,51.34,15.84,290.00,1,Summer,All
85.38,54.60,18.72,140.00,1,Summer,All
85.43,57.43,16.20,120.00,1,Summer,All
85.48,60.42,20.88,50.00,1,Summer,All
84.63,62.41,17.28,107.00,1,Summer,All
82.62,63.78,19.80,343.00,1,Summer,All
82.64,65.18,12.96,320.00,1,Summer,All
83.11,67.27,13.32,337.00,1,Summer,All
82.96,68.85,14.04,307.00,1,Summer,All
83.01,70.73,20.16,160.00,1,Summer,All
82.69,72.29,19.44,20.00,1,Summer,All
82.84,74.38,16.92,325.00,1,Summer,All
86.18,78.09,18.72,5.00,1,Summer,All
88.02,82.57,20.16,103.00,2,Summer,All
88.07,86.17,16.92,20.00,2,Summer,All
88.12,90.11,12.24,140.00,2,Summer,All
88.17,93.89,21.60,70.00,3,Summer,All
86.64,96.70,15.12,325.00,1,Summer,All
86.69,99.92,19.44,130.00,2,Summer,All
84.43,101.77,15.12,180.00,1,Summer,All
81.47,103.06,15.48,303.00,1,Summer,All
83.11,105.34,15.48,330.00,1,Summer,All
83.69,107.66,22.32,340.00,2,Summer,All
83.78,109.95,23.76,125.00,2,Summer,All
79.68,110.93,14.04,327.00,1,Summer,All
82.99,113.11,15.84,110.00,1,Summer,All
84.90,115.84,15.48,43.00,1,Summer,All
84.95,118.32,22.68,28.00,2,Summer,All
86.30,121.51,13.68,270.00,2,Summer,All
84.32,123.34,11.16,200.00,1,Summer,All
84.43,125.79,23.76,343.00,2,Summer,All
86.25,128.93,23.04,10.00,3,Summer,All
86.39,131.98,23.40,157.00,3,Summer,All
86.44,135.06,15.48,90.00,2,Summer,All
86.48,138.04,20.52,253.00,3,Summer,All
86.84,141.21,11.88,30.00,2,Summer,All
86.89,144.04,17.64,20.00,3,Summer,All
86.94,146.75,13.68,13.00,2,Summer,All
86.65,149.23,20.52,330.00,3,Summer,All
86.70,152.01,24.12,165.00,4,Summer,All
86.75,154.82,18.00,150.00,3,Summer,All
86.72,157.45,23.04,13.00,4,Summer,All
86.77,160.12,26.28,20.00,4,Summer,All
86.82,162.81,18.36,70.00,3,Summer,All
86.38,165.23,24.48,53.00,4,Summer,All
84.77,167.22,20.52,153.00,2,Summer,All
84.48,169.13,16.56,50.00,2,Summer,All
84.53,171.34,20.16,103.00,2,Summer,All
82.23,172.61,11.52,53.00,1,Summer,All
82.06,174.02,16.20,100.00,1,Summer,All
84.89,176.62,21.96,50.00,3,Summer,All
85.19,179.19,17.28,350.00,2,Summer,All
85.90,181.99,18.00,260.00,3,Summer,All
85.34,184.08,12.96,250.00,2,Summer,All
85.55,186.77,10.44,57.00,1,Summer,All
85.78,189.28,24.48,280.00,4,Summer,All
84.72,175.30,14.40,123.00,2,Summer,All
84.77,177.27,16.92,130.00,2,Summer,All
84.82,179.41,4.68,200.00,1,Summer,All
85.90,182.08,27.36,147.00,4,Summer,All
85.95,184.65,13.68,293.00,2,Summer,All
86.00,187.03,27.72,20.00,4,Summer,All
81.32,176.78,20.16,17.00,1,Summer,All
82.46,178.48,24.48,10.00,2,Summer,All
82.57,180.14,11.88,208.00,1,Summer,All
84.17,182.26,16.20,303.00,2,Summer,All
85.88,184.96,15.84,320.00,2,Summer,All
84.95,186.81,15.12,40.00,2,Summer,All
84.99,189.06,14.76,150.00,2,Summer,All
85.65,191.58,12.24,343.00,2,Summer,All
85.70,194.04,18.72,340.00,3,Summer,All
85.74,196.57,15.12,210.00,2,Summer,All
85.79,198.84,13.68,243.00,2,Summer,All
85.05,200.75,12.60,307.00,1,Summer,All
85.52,203.32,16.92,133.00,2,Summer,All
85.57,205.69,10.80,340.00,1,Summer,All
86.61,208.38,25.92,10.00,4,Summer,All
86.92,211.11,20.52,220.00,4,Summer,All
86.97,213.71,23.40,60.00,4,Summer,All
87.02,215.56,16.56,30.00,3,Summer,All
86.04,217.14,24.12,150.00,4,Summer,All
83.74,206.21,31.32,10.00,4,Summer,All
83.92,208.08,18.72,40.00,2,Summer,All
84.31,210.05,20.16,340.00,2,Summer,All
85.44,212.39,25.92,240.00,4,Summer,All
85.55,214.38,10.80,280.00,1,Summer,All
82.19,215.19,16.20,120.00,1,Summer,All
84.44,217.12,15.12,310.00,2,Summer,All
84.49,218.71,20.52,280.00,2,Summer,All
85.60,220.88,14.76,330.00,2,Summer,All
85.65,222.88,26.64,270.00,4,Summer,All
85.70,225.08,23.04,330.00,4,Summer,All
86.48,227.54,14.04,0.00,2,Summer,All
85.92,229.32,20.52,113.00,3,Summer,All
85.96,231.23,22.32,147.00,4,Summer,All
86.01,233.28,12.60,310.00,2,Summer,All
86.94,235.79,11.16,345.00,2,Summer,All
