FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
84.75,5.88,44.28,50,1,Spring,All
83.72,4.4,44.64,77,1,Spring,All
85.37,9.54,39.6,125,1,Spring,All
85.69,12.97,30.96,120,1,Spring,All
87.20,18.45,19.08,237,1,Spring,All
87.25,20.06,17.28,150,1,Spring,All
86.92,21.51,27.36,90,1,Spring,All
86.79,22.61,38.88,122,2,Spring,All
84.51,17,45,140,1,Spring,All
85.93,19.15,28.8,200,1,Spring,All
82.97,26.16,28.08,100,1,Spring,All
83.81,30.68,32.4,110,1,Spring,All
83.86,32.41,36.36,220,1,Spring,All
84.12,34.4,21.96,315,1,Spring,All
84.24,36.27,33.84,240,1,Spring,All
84.28,37.93,16.56,47,1,Spring,All
84.33,39.55,23.76,50,1,Spring,All
84.16,40.84,19.08,180,1,Spring,All
82.12,41.9,26.28,122,1,Spring,All
82.62,43.66,21.6,5,1,Spring,All
83.78,45.7,19.44,150,1,Spring,All
85.83,48.22,12.6,340,1,Spring,All
85.87,50.36,14.4,2,1,Summer,All
85.39,52.19,11.88,320,1,Summer,All
85.44,54.41,15.48,140,1,Summer,All
86.03,57.01,14.76,10,1,Summer,All
86.08,59.19,21.6,57,1,Summer,All
83.95,49.09,33.12,78,2,Summer,All
80.92,50.17,29.88,10,1,Summer,All
84.67,53.1,12.6,300,1,Summer,All
86.57,56.6,11.88,210,1,Summer,All
86.15,59.03,27.72,47,2,Summer,All
86.25,62.12,24.48,158,2,Summer,All
86.42,65.23,18.72,230,1,Summer,All
86.47,67.76,29.52,140,3,Summer,All
86.25,70.35,5.76,237,1,Summer,All
86.30,72.99,13.68,60,1,Summer,All
82.55,51.57,17.64,15,1,Summer,All
83.47,56.14,19.44,50,1,Summer,All
85.57,59.46,24.48,280,1,Summer,All
85.62,62.35,20.52,110,1,Summer,All
85.66,65.38,27.36,130,2,Summer,All
84.75,67.44,23.4,250,1,Summer,All
82.82,68.89,16.56,330,1,Summer,All
82.78,70.35,24.84,18,1,Summer,All
83.25,72.52,9.72,280,1,Summer,All
83.10,74.16,18,300,1,Summer,All
83.15,76.09,15.12,37,1,Summer,All
82.76,77.69,13.32,5,1,Summer,All
83.01,79.87,14.04,117,1,Summer,All
86.24,83.64,12.96,130,1,Summer,All
88.10,88.2,11.88,30,1,Summer,All
88.15,91.91,20.52,45,3,Summer,All
88.19,95.94,18.72,140,3,Summer,All
88.24,99.83,28.08,33,5,Summer,All
86.74,102.69,14.76,65,2,Summer,All
86.78,106.02,15.84,15,2,Summer,All
84.50,107.94,21.96,53,2,Summer,All
81.47,109.26,15.84,7,1,Summer,All
83.23,111.62,14.4,97,1,Summer,All
83.86,114.03,14.4,53,1,Summer,All
83.92,116.39,10.8,90,1,Summer,All
79.74,117.42,17.28,130,1,Summer,All
83.18,119.66,18,60,1,Summer,All
85.02,122.46,11.52,115,1,Summer,All
85.07,124.98,15.48,20,1,Summer,All
86.49,128.25,20.16,0,3,Summer,All
84.44,126.35,20.88,290,2,Summer,All
84.60,124.51,25.2,302,3,Summer,All
86.25,127.76,10.08,50,1,Summer,All
86.51,130.95,12.96,90,2,Summer,All
86.56,134.13,11.52,130,1,Summer,All
86.61,137.21,25.56,10,4,Summer,All
86.96,140.5,16.56,90,2,Summer,All
87.01,143.43,21.96,217,4,Summer,All
87.06,146.23,20.52,140,3,Summer,All
86.78,148.78,30.96,233,5,Summer,All
86.83,151.66,11.88,50,2,Summer,All
86.87,154.52,10.44,300,2,Summer,All
86.81,142.88,25.56,120,4,Summer,All
86.86,145.68,18,35,3,Summer,All
86.91,148.49,20.16,17,3,Summer,All
86.46,150.98,13.68,153,2,Summer,All
84.92,153,11.52,60,1,Summer,All
84.49,154.91,17.28,90,2,Summer,All
84.55,157.19,13.32,223,1,Summer,All
82.28,143.59,10.44,32,1,Summer,All
82.10,137.63,22.32,45,1,Summer,All
84.87,140.43,17.28,150,2,Summer,All
85.23,143.17,27.36,122,4,Summer,All
85.93,146.19,18,320,2,Summer,All
85.37,140.08,6.84,200,1,Summer,All
85.56,142.99,8.28,270,1,Summer,All
85.79,145.68,18.36,0,2,Summer,All
84.72,121.44,16.56,63,1,Summer,All
84.76,123.54,17.28,130,1,Summer,All
84.81,125.84,19.08,40,2,Summer,All
85.87,128.78,21.24,55,3,Summer,All
85.91,131.6,15.84,70,2,Summer,All
85.96,134.17,10.8,10,1,Summer,All
81.33,112.29,27.72,112,2,Summer,All
82.42,114.05,21.96,120,1,Summer,All
82.54,115.76,20.16,50,1,Summer,All
84.18,118.09,19.8,10,2,Summer,All
85.93,121.16,21.24,100,3,Summer,All
84.93,123.08,11.52,2,1,Summer,All
84.98,125.55,19.08,230,2,Summer,All
85.66,128.36,18,130,2,Summer,All
85.71,131.02,17.28,130,2,Summer,All
85.76,133.8,24.84,112,3,Summer,All
85.81,136.23,14.04,20,2,Summer,All
85.00,138.18,14.4,23,1,Summer,All
85.46,140.98,12.6,40,1,Summer,All
85.51,143.55,12.6,260,1,Summer,All
86.46,146.53,12.24,230,2,Summer,All
86.86,149.57,23.76,20,4,Summer,All
86.91,152.44,20.16,230,3,Summer,All
86.96,154.45,11.88,303,2,Summer,All
86.01,138.46,19.8,137,3,Summer,All
83.78,123.84,19.08,50,1,Summer,All
83.89,125.87,19.08,2,1,Summer,All
84.25,128.06,13.68,120,1,Summer,All
85.37,130.72,22.68,343,3,Summer,All
85.50,132.95,23.04,305,3,Summer,All
81.96,133.71,26.64,62,2,Summer,All
84.27,135.89,10.44,30,1,Summer,All
84.32,137.65,24.12,250,2,Summer,All
85.47,140.09,11.16,200,1,Summer,All
85.52,142.33,20.16,27,2,Summer,All
85.64,144.79,12.24,20,1,Summer,All
86.41,147.6,13.32,330,2,Summer,All
85.94,149.54,12.24,130,1,Summer,All
85.99,151.66,19.08,30,3,Summer,All
86.04,153.95,22.68,120,3,Summer,All
86.95,156.85,11.52,270,2,Summer,All
87.00,159.14,24.12,132,4,Summer,All
87.05,161.31,22.68,120,4,Summer,All
86.77,163.37,21.6,140,4,Summer,All
85.92,165.07,24.48,22,4,Summer,All
85.96,167.06,14.04,43,2,Summer,All
86.01,168.76,17.28,230,2,Summer,All
86.06,170.7,11.88,30,2,Summer,All
80.86,171.34,21.96,140,1,Summer,All
83.73,173.3,14.04,10,1,Summer,All
84.68,175.35,23.04,130,3,Summer,All
85.13,177.49,13.68,180,2,Summer,All
85.94,179.91,16.56,63,2,Summer,All
84.03,181.21,18,20,2,Summer,All
84.07,183.01,19.8,340,2,Summer,All
77.33,134.94,25.92,130,1,Summer,All
80.38,136.15,28.08,80,2,Summer,All
81.16,137.37,15.48,275,1,Summer,All
84.36,139.67,18.72,167,2,Summer,All
84.53,141.8,18.36,325,2,Summer,All
84.62,143.52,20.52,113,2,Summer,All
85.76,145.72,11.52,72,1,Summer,All
85.81,147.57,19.44,8,2,Summer,All
85.59,149.17,18.36,335,2,Summer,All
85.29,150.49,34.56,130,5,Summer,All
84.36,151.2,15.84,340,1,Summer,All
81.20,151.71,19.08,280,1,Summer,All
84.02,153.44,11.88,230,1,Summer,All
84.83,155.22,20.88,145,2,Summer,All
84.89,156.66,18.36,120,2,Summer,All
85.07,158.17,2.52,180,1,Summer,All
87.15,160.39,21.24,60,4,Summer,All
87.20,162.81,21.96,120,4,Summer,All
87.24,164.42,10.44,270,2,Summer,All
85.68,165.39,18,20,2,Summer,All
85.03,166.54,16.92,277,2,Summer,All
85.07,167.92,19.08,317,2,Summer,All
85.12,169.1,21.6,120,3,Summer,All
86.07,170.8,10.44,12,1,Summer,All
85.07,172.04,14.4,300,2,Summer,All
84.27,173.03,14.04,0,1,Summer,All
84.72,174.28,14.04,60,1,Summer,All
85.07,175.43,14.76,15,2,Summer,All
85.12,176.73,25.56,128,4,Summer,All
85.07,177.53,10.08,160,1,Summer,All
85.12,178.43,15.48,110,2,Summer,All
85.16,179.4,16.56,320,2,Summer,All
85.21,180.55,8.28,210,1,Summer,All
85.26,181.62,17.64,30,2,Summer,All
85.15,182.49,21.6,350,3,Summer,All
85.20,182.91,22.68,110,3,Fall,All
85.21,183.24,25.2,150,4,Fall,All
84.23,183.31,18.72,7,2,Fall,All
84.47,183.82,20.52,120,2,Fall,All
85.89,167.01,21.6,37,3,Fall,All
86.52,168.12,15.12,157,2,Fall,All
85.83,168.93,21.24,143,3,Fall,All
84.89,169.49,16.92,113,2,Fall,All
84.87,170.25,24.12,120,3,Fall,All
84.62,170.89,19.08,160,2,Fall,All
85.64,172.18,23.4,20,3,Fall,All
85.69,173.22,17.28,30,2,Fall,All
85.36,173.68,15.84,213,2,Fall,All
85.35,150.12,14.4,60,2,Fall,All
85.40,150.43,15.12,140,2,Fall,All
85.45,123.13,7.2,38,1,Fall,All
84.02,108.79,15.48,72,1,Fall,All
82.78,108.79,24.48,140,2,Fall,All
82.83,109.45,38.52,110,4,Fall,All
82.73,109.84,26.64,118,2,Fall,All
81.49,110,24.48,145,1,Fall,All
81.50,99.54,23.76,110,1,Fall,All
80.49,99.65,24.84,333,1,Fall,All
80.54,100.08,23.4,280,1,Fall,All
82.44,92.48,28.8,10,2,Fall,All
82.49,92.98,18.36,120,1,Fall,All
82.60,93.51,24.84,220,1,Fall,All
82.70,94.02,25.56,133,1,Fall,All
82.74,86.5,18.36,33,1,Fall,All
82.79,82.57,35.28,100,3,Fall,All
82.84,82.57,26.28,305,1,Fall,All
81.79,82.62,19.44,68,1,Fall,All
81.84,82.62,34.56,20,2,Fall,All
81.89,82.66,16.92,105,1,Fall,All
82.45,82.67,35.28,127,2,Fall,All
82.14,82.67,20.88,40,1,Fall,All
81.36,82.67,32.04,150,2,Fall,All
80.61,82.87,17.64,40,1,Fall,All
81.03,83.26,23.76,138,1,Fall,All
82.83,83.81,15.48,130,1,Fall,All
82.56,83.88,45.72,97,5,Fall,All
80.71,84.31,24.84,315,1,Fall,All
80.54,84.47,24.84,13,1,Fall,All
80.18,84.57,25.92,120,1,Fall,All
80.94,84.57,29.52,110,1,Fall,All
82.51,84.76,14.04,20,1,Fall,All
82.44,84.76,15.84,322,1,Fall,All
82.49,84.84,30.6,140,2,Fall,All
82.54,84.84,25.92,130,1,Fall,All
82.58,84.87,12.6,140,1,Fall,All
80.35,84.91,15.84,30,1,Fall,All
80.18,84.91,15.12,2,1,Fall,All
79.97,84.91,22.68,240,1,Fall,All
80.01,84.91,26.28,290,1,Fall,All
80.06,84.91,19.44,160,1,Fall,All
81.49,85.02,15.12,25,1,Fall,All
82.20,85.02,16.56,240,1,Fall,All
85.88,5.84,43.2,0,1,Spring,All
85.93,7.09,37.08,130,1,Spring,All
86.48,4.86,37.08,130,1,Spring,All
85.67,6.37,41.04,112,1,Spring,All
84.69,7.59,55.8,110,2,Spring,All
86.46,22.94,17.28,77,1,Spring,All
86.51,25.11,19.8,70,1,Spring,All
85.93,27.02,18.72,47,1,Spring,All
85.98,29.41,18.36,290,1,Spring,All
85.45,31.37,38.52,107,2,Spring,All
85.50,33.41,20.16,270,1,Spring,All
85.55,35.44,19.8,10,1,Summer,All
85.65,40.29,16.2,323,1,Summer,All
85.66,42.38,18,88,1,Summer,All
85.71,44.54,21.96,0,1,Summer,All
85.81,46.94,16.56,320,1,Summer,All
85.86,49.41,16.56,103,1,Summer,All
86.08,51.96,17.28,30,1,Summer,All
84.38,55.52,14.04,148,1,Summer,All
85.66,58.04,20.52,67,1,Summer,All
85.70,60.27,13.32,210,1,Summer,All
84.27,62.01,14.76,150,1,Summer,All
84.31,63.75,15.12,32,1,Summer,All
84.36,65.82,14.76,20,1,Summer,All
85.94,68.63,14.04,20,1,Summer,All
86.12,71.5,17.28,130,1,Summer,All
86.17,74.07,14.04,330,1,Summer,All
86.21,77.05,2.52,180,1,Summer,All
85.79,79.29,10.8,320,1,Summer,All
84.73,81.18,24.48,250,2,Summer,All
84.78,83.44,11.88,130,1,Summer,All
