Time, Ecoregion, NumSites,acerrubr,chamthyo,nysssylv,pinuechi,pinurigi,queralba,quercocc,querfalc,querprin,quervelu,liqustyr,sassalbi,querilic,quermari,
0, outside, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
0, inactive, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
0, uplow, 85097, 112.465617216503, 3.99414346178241, 18.5031854935443, 257.181280333964, 4714.29444717054, 1212.00352307586, 889.849100888278, 136.446216321397, 585.750133310765, 966.960256238444, 0.307998956361372, 19.1134460135505, 37.7085358083759, 39.5179042639758, 
0, upmed, 55195, 104.99556133219, 0.787426822502357, 21.7410315733925, 417.357978679015, 3867.05938684229, 1402.42037464818, 1147.81990245802, 128.746888541437, 782.674141214146, 1163.17599819616, 0.257288384098475, 21.5671882869109, 29.3161279114317, 19.4517382737854, 
0, uphigh, 85724, 38.0832071991724, 1.33326361895909, 25.2082831586329, 508.41755307702, 3182.3943243999, 1642.5565518203, 1253.72052907202, 162.387836513633, 900.494384188609, 1388.17596161693, 0.21304540214792, 34.1887913257757, 29.2212101360744, 10.3938123961833, 
0, wetlow, 103112, 1338.00881893281, 897.65047012277, 758.645175736661, 96.7621428408269, 2837.27185550248, 1002.73874841648, 8.29871334276966, 58.9243639595285, 104.381154810851, 268.034881843182, 310.699808158231, 262.022881983716, 107.934970593693, 222.347454320171, 
0, wetmed, 43954, 1379.60487942996, 738.272102816803, 1235.47641246518, 37.2231022443123, 1510.40248227306, 1219.47856548313, 766.312596194795, 115.050376672282, 131.99936358011, 269.739229894419, 759.719545975069, 270.958565142837, 92.0183914090904, 81.7818553650049, 
0, wethigh, 35992, 1427.8903300292, 1428.06519559681, 1044.93449432988, 54.1423398850665, 1933.48004145382, 1051.8206934865, 503.121916772325, 68.9701953794586, 105.598713998776, 197.919011860195, 506.139610888909, 273.55823350479, 48.7893527804692, 123.803482291777, 
0, plains, 6366, 14.5879339237905, 6.11488745476965, 6.42232514619874, 12.1981469099528, 2552.08792208539, 20.4088694316447, 22.4423963639334, 0.602975766088766, 51.874478424865, 35.7565536956311, 0.0499696335888418, 2.52835893504581, 0.533297115551238, 1.77500271872084, 
5, outside, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, inactive, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
5, uplow, 85097, 120.117939832897, 6.56638697244707, 17.2741335790368, 249.192580140777, 4630.55856209253, 1243.30043814103, 860.960291680337, 131.467279267356, 591.04662348653, 989.168530928765, 0.289088473695408, 16.9073514940291, 35.8958550584959, 45.4346759583256, 
5, upmed, 55195, 105.166661554957, 2.43976301510639, 19.419876261595, 406.330508722846, 3779.27325752644, 1447.48374731908, 1134.16360196967, 124.137697558498, 797.088961218353, 1192.08698473935, 0.24697742264322, 19.160585228236, 27.8429792308178, 21.7984751033852, 
5, uphigh, 85724, 43.8771714216666, 3.21258360567721, 22.4823502988653, 497.764095863055, 3133.98881935805, 1690.52007804603, 1229.50857181014, 156.075461310057, 911.958110572821, 1413.29563461094, 0.194952563907252, 29.9858518010993, 27.3286040321116, 11.329211562356, 
5, wetlow, 103112, 1363.21085754205, 1010.53391818923, 802.753315418104, 88.5400470645558, 2662.15816315199, 1076.06861240424, 7.92273520168851, 52.8811384031032, 109.233980769006, 290.088006613255, 339.67600018935, 280.275578837283, 110.324441352802, 249.833180701558, 
5, wetmed, 43954, 1363.26071283364, 815.834339206221, 1265.2051514496, 33.6740868614317, 1394.58988198351, 1293.49688027095, 709.724477235404, 101.779412132112, 140.809174687977, 292.388267736208, 824.756632542615, 285.515005636996, 100.532303425842, 90.2466743842846, 
5, wethigh, 35992, 1424.12472224337, 1580.88499023933, 1083.98953090365, 49.5403874712784, 1796.59069111731, 1110.5524318889, 466.097631716817, 61.8707126626997, 111.844845395191, 214.611212098386, 548.643974562941, 289.474954090528, 48.4768399243674, 136.76333518159, 
5, plains, 6366, 13.1116737450607, 7.15864042512209, 5.70834041582997, 13.1339140557059, 2763.40363857688, 23.5239729359208, 23.3854433017128, 0.638085806253681, 55.3102746905956, 38.7584389042937, 0.0595486519136707, 2.54769182349858, 0.514580517960464, 1.97374269246418, 
10, outside, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
10, inactive, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
10, uplow, 85097, 125.308831527685, 11.8922104987364, 15.6837870699617, 242.451381948942, 4544.30667283266, 1285.61782009712, 818.517528205185, 121.760900577387, 595.882405675603, 999.149561750892, 0.271793247013085, 15.8111152955931, 27.136410826768, 46.7053688268036, 
10, upmed, 55195, 102.268509642144, 5.14372701964546, 17.8495581675425, 392.931267397356, 3693.51751786268, 1487.06120695615, 1092.74581526864, 116.509463488363, 804.503839886781, 1207.08179788576, 0.227641161344051, 17.2670058340798, 21.0796161344728, 22.525963089589, 
10, uphigh, 85724, 53.6584583017778, 7.66762529444213, 21.1577510143199, 478.489398512238, 3047.08917100594, 1721.54304732906, 1168.91185867867, 143.323774583477, 902.609012285531, 1425.60713542509, 0.181388604536645, 27.0035896674254, 20.3336650857662, 12.0033716223993, 
