FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
87.38,19.31,21.24,330,1,Spring,All
87.43,21.04,42.12,318,3,Spring,All
87.12,22.62,20.88,27,1,Spring,All
83.89,13.59,36.72,100,1,Spring,All
86.11,16.19,22.68,230,1,Spring,All
83.06,20.06,29.16,110,1,Spring,All
83.23,24.63,37.08,137,1,Spring,All
84.31,32,33.12,127,1,Spring,All
84.46,35.78,29.16,0,1,Spring,All
84.33,38.94,35.64,147,2,Spring,All
82.93,42,51.48,120,4,Spring,All
84.06,44.14,25.92,140,1,Spring,All
86.20,46.78,19.44,5,1,Spring,All
86.25,49.02,17.28,50,1,Summer,All
85.58,50.28,16.92,117,1,Summer,All
85.63,52.6,17.64,330,1,Summer,All
86.23,55.3,20.16,25,1,Summer,All
86.28,57.58,17.28,110,1,Summer,All
84.15,42.3,19.08,158,1,Summer,All
84.20,44.1,25.56,63,1,Summer,All
85.05,48.26,18,10,1,Summer,All
86.79,51.86,14.04,117,1,Summer,All
86.29,54.36,15.84,60,1,Summer,All
86.38,57.53,21.24,70,1,Summer,All
86.54,60.72,23.4,20,2,Summer,All
86.59,63.34,11.88,50,1,Summer,All
86.38,66,20.16,50,1,Summer,All
86.43,68.69,33.48,115,4,Summer,All
83.56,51.18,14.4,62,1,Summer,All
85.68,54.59,22.32,45,1,Summer,All
85.73,57.56,14.76,80,1,Summer,All
85.77,60.64,15.84,60,1,Summer,All
84.85,62.74,15.12,290,1,Summer,All
82.83,64.21,26.28,67,1,Summer,All
83.37,67.91,15.48,37,1,Summer,All
83.10,69.56,25.56,10,1,Summer,All
83.14,71.54,24.48,230,1,Summer,All
82.81,73.16,14.4,282,1,Summer,All
83.04,75.35,20.16,230,1,Summer,All
86.37,79.16,15.84,250,1,Summer,All
88.20,83.79,11.88,285,1,Summer,All
88.24,87.54,15.48,250,2,Summer,All
88.29,91.61,18.72,300,3,Summer,All
88.34,95.54,23.76,140,4,Summer,All
86.80,98.43,13.32,78,1,Summer,All
86.85,101.8,17.64,173,2,Summer,All
84.57,103.75,18.72,320,1,Summer,All
81.63,105.11,15.12,250,1,Summer,All
83.36,107.5,16.56,233,1,Summer,All
83.92,109.94,11.88,242,1,Summer,All
84.03,112.36,17.28,10,1,Summer,All
79.81,113.4,15.84,313,1,Summer,All
83.43,115.7,22.32,35,2,Summer,All
85.08,118.52,9.72,150,1,Summer,All
85.13,121.1,16.2,20,1,Summer,All
86.56,124.41,16.56,40,2,Summer,All
84.52,126.34,18.72,120,2,Summer,All
84.65,128.89,15.12,50,1,Summer,All
86.43,132.15,13.68,330,2,Summer,All
86.61,135.34,20.52,55,3,Summer,All
86.65,138.52,18,150,3,Summer,All
86.70,141.62,16.56,320,2,Summer,All
87.07,144.92,15.84,320,2,Summer,All
87.12,147.89,10.8,125,2,Summer,All
87.17,150.73,9.72,137,2,Summer,All
86.88,153.32,14.76,293,2,Summer,All
86.93,156.22,20.52,280,4,Summer,All
86.98,159.15,23.76,125,4,Summer,All
86.92,155.25,23.76,323,4,Summer,All
86.97,158.07,15.12,55,2,Summer,All
87.01,160.91,20.52,255,4,Summer,All
86.60,163.45,21.96,0,4,Summer,All
84.98,165.53,16.92,70,2,Summer,All
84.70,167.53,15.12,283,2,Summer,All
84.75,169.88,13.32,90,1,Summer,All
82.32,161.55,18.36,40,1,Summer,All
82.26,162.98,11.88,223,1,Summer,All
85.01,165.77,12.6,340,1,Summer,All
85.39,168.51,11.16,290,1,Summer,All
86.13,171.51,18.36,12,3,Summer,All
85.54,173.71,19.08,30,3,Summer,All
85.77,176.58,9.72,290,1,Summer,All
86.00,179.24,14.4,5,2,Summer,All
84.92,147.31,18,335,2,Summer,All
84.97,149.44,17.64,133,2,Summer,All
85.02,151.73,17.28,310,2,Summer,All
86.09,154.65,16.2,50,2,Summer,All
86.16,157.47,19.8,270,3,Summer,All
86.20,160.05,15.48,110,2,Summer,All
81.43,133.75,22.32,213,1,Summer,All
82.72,135.57,23.76,270,2,Summer,All
82.80,137.33,17.64,348,1,Summer,All
84.47,139.7,20.16,10,2,Summer,All
86.17,142.78,15.12,305,2,Summer,All
85.16,144.74,11.88,110,1,Summer,All
85.21,147.25,13.68,330,1,Summer,All
85.92,150.1,18.36,230,2,Summer,All
85.97,152.77,7.92,35,1,Summer,All
86.02,155.59,13.68,280,2,Summer,All
86.07,158.07,22.68,343,4,Summer,All
85.31,160.1,14.04,290,2,Summer,All
85.73,162.92,15.12,37,2,Summer,All
85.78,165.53,13.32,293,2,Summer,All
86.70,168.57,8.28,45,1,Summer,All
87.06,171.65,15.48,110,3,Summer,All
87.11,174.59,15.48,48,3,Summer,All
87.16,176.74,22.68,120,4,Summer,All
86.23,152.53,16.2,217,2,Summer,All
83.98,132.52,11.16,150,1,Summer,All
84.12,134.66,24.12,110,2,Summer,All
84.45,136.94,14.04,340,1,Summer,All
85.59,139.71,18.36,140,2,Summer,All
85.71,142.1,16.92,305,2,Summer,All
82.17,142.92,19.44,302,1,Summer,All
84.67,145.17,18.36,70,2,Summer,All
84.71,146.99,33.48,20,5,Summer,All
85.83,149.52,21.24,40,3,Summer,All
85.88,151.83,18,350,2,Summer,All
85.93,154.35,10.08,50,1,Summer,All
86.67,157.21,27.72,140,5,Summer,All
86.07,159.19,18.72,340,3,Summer,All
86.11,161.37,19.08,132,3,Summer,All
86.16,163.72,20.16,100,3,Summer,All
87.16,166.68,19.8,0,4,Summer,All
87.21,169.02,28.08,160,5,Summer,All
87.26,171.25,11.88,310,2,Summer,All
