FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
85.77,13.51,33.12,140,1,Spring,All
87.33,19.16,20.88,157,1,Spring,All
87.38,20.83,31.32,303,1,Spring,All
87.04,22.35,30.24,110,1,Spring,All
86.87,23.51,43.92,120,3,Spring,All
83.78,14.73,29.88,230,1,Spring,All
84.49,12.77,38.16,100,1,Spring,All
84.58,15.66,28.44,10,1,Spring,All
85.98,17.81,21.6,263,1,Spring,All
82.91,20.53,29.16,30,1,Spring,All
83.06,25.04,25.56,82,1,Spring,All
83.11,26.45,39.6,250,1,Spring,All
83.96,28.19,40.68,67,2,Spring,All
84.01,29.74,34.2,15,1,Spring,All
84.06,31.52,32.76,120,1,Spring,All
84.25,33.57,29.52,128,1,Spring,All
84.34,35.5,34.56,100,1,Spring,All
84.43,38.91,15.48,200,1,Spring,All
82.19,41.39,26.64,225,1,Spring,All
84.03,45.31,46.44,3,4,Spring,All
86.09,47.91,16.92,20,1,Spring,All
86.14,50.12,17.28,30,1,Summer,All
85.51,52.02,18.36,80,1,Summer,All
85.56,54.32,12.24,210,1,Summer,All
86.19,56.99,20.52,110,1,Summer,All
86.23,59.26,13.32,150,1,Summer,All
84.04,42.42,15.48,22,1,Summer,All
84.09,44.58,17.28,0,1,Summer,All
85.18,50.6,19.8,145,1,Summer,All
86.95,54.25,25.92,70,2,Summer,All
86.37,56.8,20.16,0,1,Summer,All
86.46,60.04,13.68,23,1,Summer,All
86.60,63.29,16.56,20,1,Summer,All
86.65,66.01,18,335,1,Summer,All
86.50,68.73,16.56,320,1,Summer,All
86.55,71.52,23.4,30,2,Summer,All
82.94,47.81,18.72,290,1,Summer,All
83.81,50.33,16.92,250,1,Summer,All
83.86,52.72,18,120,1,Summer,All
85.86,56.28,16.56,50,1,Summer,All
85.91,59.35,38.16,10,4,Summer,All
85.95,62.59,23.4,290,1,Summer,All
85.04,64.8,15.12,283,1,Summer,All
83.00,66.37,27.36,52,1,Summer,All
83.00,67.94,17.28,257,1,Summer,All
83.60,70.29,21.6,18,1,Summer,All
83.41,72.05,26.28,60,1,Summer,All
83.45,74.11,16.2,120,1,Summer,All
83.14,75.84,24.48,80,1,Summer,All
83.32,78.15,20.16,320,1,Summer,All
86.86,82.2,24.12,165,2,Summer,All
88.57,87.06,21.24,30,3,Summer,All
88.62,91.05,20.52,113,3,Summer,All
88.67,95.33,10.08,20,1,Summer,All
88.72,99.47,17.64,180,3,Summer,All
87.13,102.55,15.12,50,2,Summer,All
87.18,106.15,11.16,200,1,Summer,All
84.88,108.27,19.8,125,2,Summer,All
81.72,109.7,23.4,23,1,Summer,All
83.67,112.24,15.48,48,1,Summer,All
84.27,114.85,14.04,142,1,Summer,All
84.32,117.42,15.12,330,1,Summer,All
80.04,118.53,15.12,330,1,Summer,All
83.80,120.99,19.8,65,1,Summer,All
85.53,124,11.16,305,1,Summer,All
85.58,121.61,18,10,2,Summer,All
86.91,125.17,11.88,310,2,Summer,All
84.84,116.42,12.6,140,1,Summer,All
84.98,109,21.96,110,2,Summer,All
86.83,112.67,23.76,323,3,Summer,All
86.93,116.26,9.72,150,1,Summer,All
86.98,119.81,14.76,52,2,Summer,All
87.02,123.23,14.76,37,2,Summer,All
87.39,126.96,25.2,350,4,Summer,All
87.44,130.28,15.84,280,2,Summer,All
87.49,133.41,39.96,240,5,Summer,All
87.19,136.27,22.32,137,4,Summer,All
87.24,139.44,20.52,103,3,Summer,All
87.29,142.59,21.6,30,4,Summer,All
87.22,125.82,14.4,250,2,Summer,All
87.27,128.98,37.44,132,5,Summer,All
87.32,132.18,32.04,10,5,Summer,All
86.84,134.98,19.08,155,3,Summer,All
85.25,137.17,12.6,307,1,Summer,All
84.90,139.26,24.12,10,3,Summer,All
84.96,141.86,16.2,240,2,Summer,All
82.40,125.28,29.52,8,2,Summer,All
82.45,116.24,17.28,180,1,Summer,All
85.33,119.45,17.28,120,2,Summer,All
85.55,122.55,12.96,40,1,Summer,All
86.33,125.99,36,60,5,Summer,All
85.64,118.15,11.52,53,1,Summer,All
85.90,121.46,17.28,50,2,Summer,All
86.12,124.49,24.48,120,3,Summer,All
85.01,105.48,19.08,110,2,Summer,All
85.06,107.83,39.24,90,5,Summer,All
85.11,110.33,20.88,10,2,Summer,All
86.20,113.59,23.04,100,3,Summer,All
86.24,116.72,14.76,160,2,Summer,All
86.29,119.59,24.48,100,3,Summer,All
81.61,101.96,11.16,305,1,Summer,All
82.69,103.86,18.72,23,1,Summer,All
82.80,105.7,18.72,53,1,Summer,All
84.45,108.22,22.32,320,2,Summer,All
86.26,111.55,32.4,318,4,Summer,All
85.14,113.6,13.32,273,1,Summer,All
85.19,116.26,18,10,2,Summer,All
85.88,119.3,15.48,48,2,Summer,All
85.92,122.12,23.76,20,3,Summer,All
85.97,125.12,11.88,300,1,Summer,All
86.02,127.72,19.44,53,2,Summer,All
85.22,129.79,16.92,70,2,Summer,All
85.65,132.74,16.2,240,2,Summer,All
85.69,135.45,16.2,150,2,Summer,All
86.65,138.64,15.84,50,2,Summer,All
86.99,141.87,14.4,205,2,Summer,All
87.04,144.93,15.12,20,2,Summer,All
87.09,147.1,12.24,38,2,Summer,All
86.10,134.54,22.68,210,3,Summer,All
83.82,122.09,17.28,150,1,Summer,All
83.97,124.21,12.96,65,1,Summer,All
84.35,126.47,19.8,0,2,Summer,All
85.46,129.23,17.64,10,2,Summer,All
85.58,131.55,20.16,50,2,Summer,All
82.28,132.35,11.88,63,1,Summer,All
84.61,134.57,24.48,45,3,Summer,All
84.66,136.36,23.76,290,2,Summer,All
85.67,138.87,18.36,70,2,Summer,All
85.72,141.16,11.16,332,1,Summer,All
85.77,143.66,28.08,33,4,Summer,All
86.52,146.52,31.68,73,5,Summer,All
85.93,148.47,16.2,243,2,Summer,All
85.98,150.62,25.2,113,4,Summer,All
86.02,152.95,16.2,280,2,Summer,All
86.96,155.88,15.48,303,2,Summer,All
87.01,158.19,24.12,40,4,Summer,All
87.06,160.38,20.88,30,4,Summer,All
86.78,162.47,20.16,12,3,Summer,All
85.98,164.19,10.44,140,1,Summer,All
86.03,166.2,19.8,110,3,Summer,All
86.08,167.93,18.72,110,3,Summer,All
86.13,169.89,13.68,320,2,Summer,All
81.08,170.53,11.88,130,1,Summer,All
83.87,172.51,17.28,47,2,Summer,All
84.64,174.59,9.72,155,1,Summer,All
85.09,176.74,10.8,293,1,Summer,All
85.92,179.18,15.12,40,2,Summer,All
83.99,180.48,15.84,225,1,Summer,All
84.04,182.31,12.96,30,1,Summer,All
77.35,124.03,24.84,43,1,Summer,All
79.90,125.25,10.08,70,1,Summer,All
81.00,126.48,20.16,10,1,Summer,All
84.33,128.84,16.92,30,1,Summer,All
84.59,131.04,16.56,130,1,Summer,All
84.66,132.81,12.96,250,1,Summer,All
85.88,135.07,23.76,290,3,Summer,All
85.93,136.99,17.64,40,2,Summer,All
85.70,138.65,20.16,343,2,Summer,All
85.41,140.04,15.84,7,2,Summer,All
84.43,140.79,16.56,150,1,Summer,All
81.24,141.32,18.72,20,1,Summer,All
84.45,143.12,29.16,12,4,Summer,All
84.99,144.98,13.32,270,1,Summer,All
85.03,146.52,15.48,160,2,Summer,All
85.21,148.13,23.04,240,3,Summer,All
87.26,150.47,19.44,290,3,Summer,All
87.30,153,18.36,340,3,Summer,All
87.35,154.72,13.68,115,2,Summer,All
85.73,155.77,18.36,50,2,Summer,All
85.11,157,21.96,70,3,Summer,All
85.17,158.49,14.04,20,1,Summer,All
85.22,159.78,25.56,18,4,Summer,All
86.26,161.64,16.2,30,2,Summer,All
85.18,162.95,20.16,20,2,Summer,All
84.39,164.03,16.2,323,2,Summer,All
84.94,165.41,27,270,4,Summer,All
85.28,166.72,22.32,135,3,Summer,All
85.33,168.16,23.4,20,3,Summer,All
85.27,169.1,26.28,0,4,Summer,All
85.32,170.13,11.16,53,1,Summer,All
85.37,171.25,16.56,50,2,Summer,All
85.41,172.55,18,33,2,Summer,All
85.46,173.77,15.48,298,2,Summer,All
85.36,174.79,13.68,130,2,Summer,All
85.41,175.41,19.08,200,2,Fall,All
85.45,175.9,34.56,93,5,Fall,All
84.44,176.1,15.48,155,1,Fall,All
84.69,176.78,17.64,43,2,Fall,All
86.11,178.05,16.56,70,2,Fall,All
86.71,179.34,9,200,1,Fall,All
86.04,180.28,19.08,210,3,Fall,All
85.04,180.96,26.64,72,4,Fall,All
85.06,181.83,22.68,240,3,Fall,All
84.83,182.59,11.52,55,1,Fall,All
85.68,184.04,2.16,180,1,Fall,All
85.73,185.22,21.96,133,3,Fall,All
85.52,185.83,24.12,110,4,Fall,All
85.56,172.4,17.64,37,2,Fall,All
85.61,172.9,25.56,50,4,Fall,All
85.66,149.76,15.12,315,2,Fall,All
84.43,140.14,3.24,180,1,Fall,All
83.19,140.14,10.44,123,1,Fall,All
83.24,140.9,15.12,180,1,Fall,All
83.00,141.38,16.56,140,1,Fall,All
81.79,141.62,12.96,158,1,Fall,All
81.78,134.26,23.4,140,1,Fall,All
80.79,134.44,19.44,40,1,Fall,All
80.84,134.95,11.16,280,1,Fall,All
82.51,129.3,9,330,1,Fall,All
82.57,129.91,18.36,20,1,Fall,All
82.80,130.56,26.64,30,2,Fall,All
82.92,131.19,11.52,120,1,Fall,All
82.97,124.32,21.6,20,1,Fall,All
83.01,124.69,17.28,0,1,Fall,All
83.06,124.78,17.64,312,1,Fall,All
82.05,124.81,21.96,315,1,Fall,All
81.99,124.95,20.16,40,1,Fall,All
82.04,125.02,21.96,122,1,Fall,All
82.09,125.17,22.32,230,1,Fall,All
82.62,125.32,21.24,150,1,Fall,All
82.34,125.32,21.96,138,1,Fall,All
81.53,125.32,32.04,20,2,Fall,All
80.67,125.55,47.88,102,5,Fall,All
81.17,125.99,22.32,130,1,Fall,All
82.95,126.63,11.16,290,1,Fall,All
82.76,126.77,16.2,307,1,Fall,All
79.24,126.92,17.28,160,1,Fall,All
80.94,127.28,30.96,65,2,Fall,All
80.69,127.47,12.96,153,1,Fall,All
80.32,127.61,27.72,110,1,Fall,All
81.10,127.61,28.44,105,2,Fall,All
81.75,127.61,18.72,113,1,Fall,All
82.74,127.87,21.96,107,1,Fall,All
82.60,127.87,19.08,180,1,Fall,All
82.64,128,20.52,140,1,Fall,All
82.69,128,16.2,230,1,Fall,All
82.74,128.08,14.76,145,1,Fall,All
80.30,128.14,29.88,130,2,Fall,All
80.18,128.14,26.28,140,1,Fall,All
79.98,128.14,19.44,0,1,Fall,All
80.02,128.14,31.68,60,2,Fall,All
80.07,128.14,17.64,0,1,Fall,All
81.46,128.28,10.8,315,1,Fall,All
82.23,128.28,17.64,7,1,Fall,All
84.79,7.02,41.76,110,1,Spring,All
85.55,18.98,24.48,40,1,Spring,All
86.63,21.86,22.68,127,1,Spring,All
86.68,24.06,15.84,330,1,Spring,All
86.04,26.03,19.8,300,1,Spring,All
86.09,28.46,23.04,150,1,Spring,All
85.58,30.48,24.48,140,1,Spring,All
85.63,32.58,23.4,120,1,Spring,All
