FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
84.78,0.48,53.28,120,1,Spring,All
85.26,10.76,36.72,110,1,Spring,All
85.69,14.21,29.52,150,1,Spring,All
87.30,18.21,28.08,10,1,Spring,All
87.34,19.83,20.52,108,1,Spring,All
86.99,21.3,23.76,233,1,Spring,All
85.96,19.27,25.2,73,1,Spring,All
81.07,20.28,51.48,120,2,Spring,All
83.88,25.25,32.04,62,1,Spring,All
83.04,26.42,29.16,130,1,Spring,All
83.08,27.81,26.64,125,1,Spring,All
83.81,31.07,25.92,270,1,Spring,All
84.19,34.86,38.52,120,2,Spring,All
84.29,36.77,23.76,233,1,Spring,All
84.34,38.48,20.88,272,1,Spring,All
84.39,40.15,15.84,150,1,Spring,All
82.20,42.57,20.88,240,1,Spring,All
82.74,44.37,23.4,280,1,Spring,All
83.88,46.45,22.32,270,1,Spring,All
86.06,49.01,21.96,43,1,Spring,All
86.10,51.2,23.4,53,1,Summer,All
85.48,53.06,12.24,57,1,Summer,All
85.53,55.31,11.88,320,1,Summer,All
86.12,57.95,21.96,225,1,Summer,All
86.17,60.16,14.4,245,1,Summer,All
83.20,41.39,20.16,70,1,Summer,All
84.05,43.8,22.68,105,1,Summer,All
81.02,48.71,21.96,160,1,Summer,All
84.79,51.68,14.4,220,1,Summer,All
86.64,55.23,12.96,290,1,Summer,All
86.30,60.83,25.56,10,2,Summer,All
86.46,63.98,18,180,1,Summer,All
86.50,66.54,14.76,50,1,Summer,All
86.31,69.16,12.24,100,1,Summer,All
86.36,71.83,17.28,60,1,Summer,All
83.53,53.34,22.68,330,1,Summer,All
83.58,55.59,19.8,0,1,Summer,All
85.63,58.94,27.36,122,2,Summer,All
85.68,61.85,12.96,290,1,Summer,All
85.73,64.9,17.28,290,1,Summer,All
84.77,66.97,24.84,0,1,Summer,All
82.81,68.43,21.6,118,1,Summer,All
82.80,69.9,20.16,323,1,Summer,All
83.32,72.1,11.52,140,1,Summer,All
83.13,73.75,14.76,43,1,Summer,All
83.18,75.72,21.24,120,1,Summer,All
82.86,77.34,20.52,110,1,Summer,All
83.02,79.52,22.68,27,1,Summer,All
86.38,83.32,18,7,1,Summer,All
88.21,87.91,20.52,110,3,Summer,All
88.26,91.65,0,180,1,Summer,All
88.31,95.7,17.28,43,2,Summer,All
88.36,99.63,16.2,120,2,Summer,All
86.79,102.52,13.68,327,1,Summer,All
86.84,105.89,15.12,110,2,Summer,All
84.61,107.86,19.8,338,2,Summer,All
81.54,109.19,14.04,323,1,Summer,All
83.35,111.58,17.28,290,1,Summer,All
83.93,114.02,13.68,230,1,Summer,All
84.00,116.43,19.8,10,1,Summer,All
79.73,117.47,23.76,40,1,Summer,All
83.12,119.75,12.6,130,1,Summer,All
85.16,122.59,19.08,0,2,Summer,All
85.21,125.17,12.6,93,1,Summer,All
86.57,128.5,14.4,130,2,Summer,All
84.54,130.42,9.72,300,1,Summer,All
84.71,132.99,15.48,85,1,Summer,All
86.38,136.26,10.08,73,1,Summer,All
86.65,139.48,20.52,220,3,Summer,All
86.70,142.68,21.96,10,3,Summer,All
86.74,145.8,16.56,102,2,Summer,All
87.11,149.12,19.8,320,3,Summer,All
87.15,152.11,21.96,120,4,Summer,All
87.20,154.97,21.6,0,4,Summer,All
86.95,157.59,17.28,55,3,Summer,All
86.99,160.53,10.44,45,2,Summer,All
87.04,163.46,16.56,128,3,Summer,All
86.99,158.64,16.56,310,3,Summer,All
87.04,161.48,21.6,297,4,Summer,All
87.09,164.36,27.36,12,5,Summer,All
86.65,166.92,17.28,50,3,Summer,All
85.08,169.03,15.84,7,2,Summer,All
84.69,171.04,18,307,2,Summer,All
84.79,173.43,13.32,160,1,Summer,All
82.32,166.99,24.12,68,2,Summer,All
82.36,168.46,15.84,15,1,Summer,All
85.26,171.27,23.4,140,3,Summer,All
85.49,174.04,27.36,130,4,Summer,All
86.20,177.06,20.52,270,3,Summer,All
85.55,179.27,13.32,167,2,Summer,All
85.82,182.17,13.68,290,2,Summer,All
86.01,184.84,14.76,10,2,Summer,All
84.94,168.17,25.2,60,3,Summer,All
84.99,170.27,25.2,10,3,Summer,All
85.04,172.56,25.2,250,4,Summer,All
86.06,175.41,9.72,140,1,Summer,All
86.19,178.19,21.24,280,3,Summer,All
86.24,180.74,11.88,290,2,Summer,All
81.62,165.87,17.64,37,1,Summer,All
82.71,167.66,18.72,23,1,Summer,All
82.83,169.42,12.96,60,1,Summer,All
84.50,171.71,19.08,140,2,Summer,All
86.22,174.65,20.16,35,3,Summer,All
85.19,176.59,14.4,323,2,Summer,All
85.24,179.01,19.44,50,2,Summer,All
86.00,181.75,28.08,23,5,Summer,All
86.05,184.36,28.44,140,5,Summer,All
86.10,187.09,20.16,50,3,Summer,All
86.14,189.51,15.12,20,2,Summer,All
85.34,191.52,15.48,20,2,Summer,All
85.75,194.24,20.88,57,3,Summer,All
85.80,196.79,14.04,17,2,Summer,All
86.74,199.71,9,150,2,Summer,All
87.12,202.7,11.88,317,2,Summer,All
87.17,205.53,14.76,335,3,Summer,All
87.22,207.62,27.36,77,5,Summer,All
86.27,179.64,15.12,310,2,Summer,All
83.98,156.33,14.04,110,1,Summer,All
84.10,158.41,16.92,340,2,Summer,All
84.49,160.64,11.16,220,1,Summer,All
85.63,163.35,15.84,120,2,Summer,All
85.74,165.68,14.76,275,2,Summer,All
82.23,166.5,16.56,140,1,Summer,All
84.68,168.68,16.56,253,2,Summer,All
84.72,170.47,19.08,20,2,Summer,All
85.82,172.92,15.48,225,2,Summer,All
85.87,175.17,19.44,270,3,Summer,All
85.92,177.62,15.48,20,2,Summer,All
86.69,180.41,19.44,53,3,Summer,All
86.09,174.14,20.16,162,3,Summer,All
86.14,176.3,16.56,208,2,Summer,All
86.19,178.62,30.24,93,5,Summer,All
