FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
85.09,7.83,39.6,110,1,Spring,All
84.82,13.52,28.44,310,1,Spring,All
87.13,15.85,39.6,120,2,Spring,All
86.71,19.72,18.72,350,1,Spring,All
84.36,9.75,38.16,137,1,Spring,All
84.41,11.26,35.28,17,1,Spring,All
83.73,24.67,36.36,110,1,Spring,All
83.78,26.34,33.84,45,1,Spring,All
84.04,28.28,28.8,252,1,Spring,All
84.19,31.71,33.84,45,1,Spring,All
84.06,34.55,31.68,133,1,Spring,All
82.01,35.63,32.04,110,1,Spring,All
82.57,37.36,28.08,7,1,Spring,All
83.77,39.34,30.24,112,1,Spring,All
85.95,41.71,32.04,207,2,Spring,All
86.00,43.76,22.32,140,1,Summer,All
85.28,45.51,20.88,10,1,Summer,All
85.33,47.62,15.12,345,1,Summer,All
85.90,50.07,19.44,112,1,Summer,All
85.95,52.13,23.04,310,1,Summer,All
83.68,42.69,18.36,130,1,Summer,All
83.73,44.29,18.36,90,1,Summer,All
80.81,45.33,22.32,63,1,Summer,All
84.54,48.04,17.64,318,1,Summer,All
86.35,51.26,16.56,125,1,Summer,All
85.95,53.52,16.56,240,1,Summer,All
86.00,56.35,11.16,128,1,Summer,All
86.14,59.19,16.92,277,1,Summer,All
86.19,61.42,23.4,290,2,Summer,All
85.97,63.83,23.04,53,2,Summer,All
86.02,66.27,24.84,25,2,Summer,All
82.15,43.41,19.8,180,1,Summer,All
83.13,45.53,21.24,105,1,Summer,All
83.18,47.56,16.56,350,1,Summer,All
85.11,50.6,20.52,20,1,Summer,All
85.15,53.27,16.2,243,1,Summer,All
85.20,56.07,14.04,330,1,Summer,All
84.39,57.91,21.6,55,1,Summer,All
82.47,59.2,24.12,50,1,Summer,All
82.34,60.46,22.32,137,1,Summer,All
82.84,62.39,16.92,73,1,Summer,All
82.68,63.85,24.12,110,1,Summer,All
82.73,65.61,19.44,240,1,Summer,All
82.34,67.05,19.08,100,1,Summer,All
85.83,72.42,24.12,68,2,Summer,All
87.63,76.58,15.48,67,2,Summer,All
87.68,79.89,19.44,140,2,Summer,All
87.73,83.55,18.36,10,2,Summer,All
87.78,87.08,15.48,300,2,Summer,All
86.32,89.67,17.28,148,2,Summer,All
86.37,92.62,25.2,20,3,Summer,All
84.19,94.31,14.04,200,1,Summer,All
81.18,95.49,21.24,215,1,Summer,All
82.73,97.59,17.28,53,1,Summer,All
83.35,99.72,19.44,350,1,Summer,All
83.46,101.82,15.48,220,1,Summer,All
79.37,102.73,20.88,170,1,Summer,All
82.42,104.71,13.68,310,1,Summer,All
84.40,107.22,17.28,300,1,Summer,All
84.45,109.49,16.56,0,1,Summer,All
85.93,112.43,25.2,220,4,Summer,All
83.93,114.09,20.52,122,2,Summer,All
84.08,113.87,20.52,213,2,Summer,All
85.73,116.76,14.76,60,2,Summer,All
85.98,119.56,10.08,63,1,Summer,All
86.03,122.39,18,10,2,Summer,All
86.07,125.13,29.52,10,5,Summer,All
86.42,128,11.88,310,2,Summer,All
86.47,130.54,17.28,150,3,Summer,All
86.52,133,19.08,10,3,Summer,All
86.28,135.23,12.24,300,2,Summer,All
86.33,137.77,24.48,180,4,Summer,All
86.38,140.33,20.16,210,3,Summer,All
86.29,134.1,25.56,347,4,Summer,All
86.34,136.55,12.6,270,2,Summer,All
86.39,138.98,9,235,1,Summer,All
85.96,141.16,20.16,100,3,Summer,All
84.41,142.95,14.04,117,1,Summer,All
84.01,144.65,13.32,110,1,Summer,All
84.09,146.61,14.04,283,1,Summer,All
81.92,137.09,11.88,330,1,Summer,All
81.65,133.53,18,103,1,Summer,All
84.10,135.92,11.16,120,1,Summer,All
84.66,138.29,21.24,5,3,Summer,All
85.38,140.86,23.04,62,3,Summer,All
84.85,136.47,31.32,153,4,Summer,All
85.09,138.98,25.92,40,4,Summer,All
85.30,141.33,18,27,2,Summer,All
84.25,117.57,24.48,60,3,Summer,All
84.30,119.38,30.6,70,4,Summer,All
84.34,121.39,12.96,122,1,Summer,All
85.35,123.98,19.44,20,2,Summer,All
85.42,126.44,15.48,120,2,Summer,All
85.47,128.68,11.88,310,1,Summer,All
81.12,106.57,15.12,50,1,Summer,All
81.96,108.14,12.6,320,1,Summer,All
82.09,109.65,19.08,27,1,Summer,All
83.56,111.65,15.84,320,1,Summer,All
85.29,114.31,16.56,0,2,Summer,All
84.46,116.02,21.6,180,2,Summer,All
84.50,118.15,16.92,320,2,Summer,All
85.17,120.6,16.92,310,2,Summer,All
85.22,122.97,15.12,343,2,Summer,All
85.27,125.42,12.96,303,1,Summer,All
85.32,127.57,29.16,10,4,Summer,All
84.58,129.33,9,37,1,Summer,All
85.01,131.82,17.64,73,2,Summer,All
85.05,134.09,21.6,232,3,Summer,All
86.08,136.63,39.96,22,5,Summer,All
86.39,139.21,23.76,75,4,Summer,All
86.43,141.62,28.08,33,5,Summer,All
86.48,143.13,20.52,30,4,Summer,All
85.62,125.39,18.72,8,2,Summer,All
83.46,109.69,14.04,120,1,Summer,All
83.50,111.43,21.96,97,2,Summer,All
83.82,113.3,23.76,92,2,Summer,All
84.77,115.58,10.44,307,1,Summer,All
85.01,117.38,23.04,320,3,Summer,All
82.01,118.01,10.44,0,1,Summer,All
83.78,119.89,10.08,10,1,Summer,All
83.83,121.4,20.52,280,2,Summer,All
85.00,123.55,15.12,338,2,Summer,All
85.05,125.51,14.76,140,2,Summer,All
85.17,127.7,22.32,180,3,Summer,All
85.94,130.2,15.84,120,2,Summer,All
85.43,131.9,13.32,20,2,Summer,All
85.48,133.77,19.08,230,2,Summer,All
85.53,135.76,22.32,137,3,Summer,All
86.47,138.29,21.6,350,4,Summer,All
86.52,140.25,15.48,303,2,Summer,All
86.57,142.04,21.24,50,4,Summer,All
86.31,143.79,11.52,200,2,Summer,All
85.51,145.21,15.48,310,2,Summer,All
85.56,146.88,23.4,60,4,Summer,All
85.61,148.22,14.04,160,2,Summer,All
85.66,149.86,11.16,15,1,Summer,All
80.70,150.38,15.48,43,1,Summer,All
83.36,152.08,24.48,180,3,Summer,All
84.17,153.88,16.56,320,2,Summer,All
84.64,155.74,20.88,55,3,Summer,All
85.41,157.81,23.04,10,4,Summer,All
83.55,158.94,18.72,225,2,Summer,All
83.60,160.53,23.4,162,3,Summer,All
79.92,106.97,31.68,0,2,Summer,All
80.72,108.05,28.08,138,2,Summer,All
83.43,110.12,9.36,200,1,Summer,All
83.95,112.06,24.12,60,2,Summer,All
84.12,113.56,25.56,50,3,Summer,All
85.25,115.51,17.28,13,2,Summer,All
85.30,117.08,13.32,290,1,Summer,All
85.12,118.51,16.56,290,2,Summer,All
84.86,119.61,16.2,50,2,Summer,All
84.00,120.06,13.68,140,1,Summer,All
80.92,117.48,16.2,110,1,Summer,All
83.62,118.97,19.44,325,2,Summer,All
84.35,120.53,14.76,80,1,Summer,All
84.44,121.71,16.92,127,2,Summer,All
84.69,122.96,27.36,147,4,Summer,All
86.60,124.83,19.8,50,3,Summer,All
86.65,127.04,18,10,3,Summer,All
86.69,128.36,12.6,293,2,Summer,All
85.31,129.09,16.92,270,2,Summer,All
84.63,127.13,26.28,90,3,Summer,All
84.69,128.26,26.64,40,4,Summer,All
84.73,129.18,21.6,350,2,Summer,All
85.71,130.61,19.8,0,3,Summer,All
84.74,127.17,13.68,35,1,Summer,All
83.96,128.03,12.24,57,1,Summer,All
84.37,129.06,15.48,358,1,Summer,All
84.74,129.98,14.76,297,1,Summer,All
84.78,131.08,25.56,10,3,Summer,All
84.76,131.7,24.48,88,3,Summer,All
84.81,132.41,15.84,82,2,Summer,All
84.86,125.88,16.56,70,2,Summer,All
84.90,126.87,17.64,110,2,Summer,All
84.95,120.57,15.48,275,2,Summer,All
84.87,115.55,12.96,320,1,Summer,All
84.92,115.72,20.88,143,2,Fall,All
84.97,115.89,21.6,237,2,Fall,All
84.04,115.89,21.6,95,2,Fall,All
84.27,116.25,24.48,100,3,Fall,All
85.63,117.21,21.6,120,3,Fall,All
86.32,118.19,25.92,125,4,Fall,All
85.65,118.91,19.08,110,2,Fall,All
84.61,119.38,35.28,90,5,Fall,All
84.62,120.06,16.2,293,1,Fall,All
84.41,120.63,23.4,40,3,Fall,All
85.49,121.87,30.24,133,4,Fall,All
85.53,122.85,35.28,120,5,Fall,All
85.20,123.22,23.76,118,3,Fall,All
85.19,124.02,20.88,80,2,Fall,All
85.24,124.2,24.48,140,3,Fall,All
85.29,121.55,23.04,140,3,Fall,All
83.83,121.56,24.48,130,2,Fall,All
82.76,121.56,14.04,35,1,Fall,All
82.81,122.11,18,252,1,Fall,All
82.62,122.42,21.24,70,2,Fall,All
81.37,122.53,23.4,67,1,Fall,All
81.42,122.57,19.8,130,1,Fall,All
80.42,122.64,37.44,125,4,Fall,All
80.47,123.01,21.96,130,1,Fall,All
82.25,123.96,21.24,75,1,Fall,All
82.30,124.37,21.24,317,1,Fall,All
82.48,124.8,25.56,278,2,Fall,All
82.61,125.21,32.04,70,3,Fall,All
82.66,125.42,32.04,20,4,Fall,All
82.75,125.56,27,30,2,Fall,All
81.86,125.56,15.48,148,1,Fall,All
81.76,125.59,9.72,300,1,Fall,All
81.80,125.59,18.72,287,1,Fall,All
81.85,125.59,19.8,120,1,Fall,All
82.34,125.59,21.24,140,1,Fall,All
82.06,125.59,18,140,1,Fall,All
81.37,125.59,24.48,18,2,Fall,All
80.52,125.75,29.52,240,2,Fall,All
80.89,126.06,12.24,140,1,Fall,All
82.87,126.49,28.44,130,3,Fall,All
82.57,126.51,19.08,160,1,Fall,All
79.01,126.62,24.84,333,1,Fall,All
80.43,126.82,16.92,105,1,Fall,All
80.32,126.93,26.64,110,2,Fall,All
80.07,127,12.24,322,1,Fall,All
80.78,127,24.84,253,1,Fall,All
81.40,127,14.04,160,1,Fall,All
